Nombre_Tabla,Nombre_Base
TOTAL DE VENTAS,total_ventas
DEVOLUCION SOBRE VENTAS ,devolucion_sobre_ventas
REBAJAS SOBRE VENTAS,rebajas_sobre_ventas
TOTAL DE VENTAS NETAS,total_ventas_netas
COSTO DE VENTAS,costo_ventas
UTILIDAD  BRUTA,utilidad_bruta
GASTOS  DE OPERACIÓN,gastos_operacion
Gastos de Venta,gastos_venta
Gastos de Administración,gastos_admin
Otros Gastos de Operación,gastos_otros
UTILIDAD OPERATIVA,utilidad_operativa
Costo Integral de Financiamiento,costo_integral_fin
Gastos (Productos Financieros),gastos_prod_fin
Perdida (Utilidad en Cambios),perdida_cambios
Otros Productos (Gastos),otros_productos
Otros Ingresos,otros_ingresos
UTILIDAD (PERDIDA) ANTES DE PROVISION PARA IMPUESTOS Y PARTIDAS ESPECIALES,utilidad_antes_imptos_partidas_especiales
Provisión para impuesto al activo,provision_impto_activo
Impuesto sobre la renta,impto_isr
Participación en las utilidades,participacion_utilidades
UTILIDAD (PERDIDA) DEL EJERCICIO,utilidad_ejercicio
